item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,Prime_pic_distract,Target_pic_correct,Target_pic_distract,prime_sound,target_sound,prime_soundfile,target_soundfile
13,in prime,A,,,talkin,talking,talking_c.png,talking_pw.png,talking_c.png,talking_tw.png,talkin.wav,talking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/talkin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/talking.wav?raw=true
14,ing prime,A,,,drinking,drinking,drinking_c.png,drinking_pw.png,drinking_c.png,drinking_tw.png,drinking.wav,drinking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinking.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinking.wav?raw=true
15,unrel prime,A,,,pizza,reading,pizza_c.png,pizza_w.png,reading_c.png,reading_tw.png,pizza.wav,reading.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/pizza.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/reading.wav?raw=true
16,filler,A,,,book,baby,book_c.png,book_w.png,baby_c.png,baby_w.png,book.wav,baby.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/book.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/baby.wav?raw=true
17,filler,A,,,hand,spoon,hand_c.png,hand_w.png,spoon_c.png,spoon_w.png,hand.wav,spoon.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hand.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/spoon.wav?raw=true
18,filler,A,,,doll,cup,doll_c.png,doll_w.png,cup_c.png,cup_w.png,doll.wav,cup.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/doll.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cup.wav?raw=true
19,filler,A,,,nose,duck,nose_c.png,nose_w.png,duck_c.png,duck_w.png,nose.wav,duck.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/nose.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/duck.wav?raw=true
20,filler,A,,,ball,hat,ball_c.png,ball_w.png,hat_c.png,hat_w.png,ball.wav,hat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/ball.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hat.wav?raw=true
21,filler,A,,,cow,house,cow_c.png,cow_w.png,house_c.png,house_w.png,cow.wav,house.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cow.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/house.wav?raw=true
22,filler,A,,,bear,bread,bear_c.png,bear_w.png,bread_c.png,bread_w.png,bear.wav,bread.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bear.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bread.wav?raw=true
23,filler,A,,,horse,clock,horse_c.png,horse_w.png,clock_c.png,clock_w.png,horse.wav,clock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/horse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clock.wav?raw=true
24,filler,A,,,feet,car,feet_c.png,feet_w.png,car_c.png,car_w.png,feet.wav,car.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/feet.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/car.wav?raw=true
25,filler,A,,,sandwich,bird,sandwich_c.png,sandwich_w.png,bird_c.png,bird_w.png,sandwich.wav,bird.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sandwich.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bird.wav?raw=true
26,filler,A,,,door,cat,door_c.png,door_w.png,cat_c.png,cat_w.png,door.wav,cat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/door.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cat.wav?raw=true
27,filler,A,,,shirt,tree,shirt_c.png,shirt_w.png,tree_c.png,tree_w.png,shirt.wav,tree.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shirt.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/tree.wav?raw=true
